session.id,tender,processor,gear,fish.number,length,weight,sex,age,gonad,Slide,Lot,Catch.Date,Location,Comments
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,10,292,382,1,7,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_16_17_54,Gordan Jensen,icicle,5,9,264,281,2,5,5,104,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_09_47,Gordan Jensen,icicle,5,8,240,192,2,4,5,5,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_16_09_40,Gordan Jensen,icicle,5,6,267,379,2,7,5,101,3,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_08_53,Gordan Jensen,icicle,5,5,290,375,2,7,5,52,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_19_01,Gordan Jensen,icicle,5,1,218,131,1,4,5,6,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_10_41_30,Gordan Jensen,icicle,5,9,263,275,1,5,5,75,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_09_10_02_07,Gordan Jensen,icicle,5,8,289,370,2,6,5,27,33,5/9/2020,Nunavachak,
TOGHER_2020_06_10_11_35_26,Gordan Jensen,icicle,5,8,252,259,1,5,5,80,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_08_14_19_01,Gordan Jensen,icicle,5,5,233,154,2,4,4,6,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_19_01,Gordan Jensen,icicle,5,6,259,217,1,28,7,6,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,6,286,375,2,7,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_19_01,Gordan Jensen,icicle,5,8,233,179,2,4,5,6,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_10_28_19,Gordan Jensen,icicle,5,1,262,257,1,5,5,30,33,5/9/2020,Nunavachak,
TOGHER_2020_06_08_16_55_08,Gordan Jensen,icicle,5,4,286,369,1,7,4,22,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_52_29,Gordan Jensen,icicle,5,1,239,176,1,4,5,7,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_31_28,Gordan Jensen,icicle,5,9,256,254,1,5,5,13,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_46_45,Gordan Jensen,icicle,5,9,290,370,2,6,5,46,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_10_41_30,Gordan Jensen,icicle,5,4,253,254,2,5,5,75,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_08_14_52_29,Gordan Jensen,icicle,5,5,236,182,1,4,5,7,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_12_08_18,Gordan Jensen,icicle,5,10,257,253,2,5,5,85,38,5/10/2020,Nunavachak,
TOGHER_2020_06_09_14_49_33,Gordan Jensen,icicle,5,3,277,358,2,6,5,47,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_52_29,Gordan Jensen,icicle,5,8,240,186,2,4,5,7,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_52_29,Gordan Jensen,icicle,5,9,233,169,1,28,5,7,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_52_29,Gordan Jensen,icicle,5,10,231,151,1,4,4,7,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_09_47,Gordan Jensen,icicle,5,7,273,251,2,5,5,5,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_57_09,Gordan Jensen,icicle,5,2,235,158,1,28,7,8,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_57_09,Gordan Jensen,icicle,5,7,263,251,1,5,5,8,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_57_09,Gordan Jensen,icicle,5,4,291,357,1,28,5,8,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_14_57_09,Gordan Jensen,icicle,5,5,212,109,1,30,4,8,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_16_09_40,Gordan Jensen,icicle,5,10,264,363,1,7,5,101,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_12_16_30,Gordan Jensen,icicle,5,7,260,250,1,5,5,87,38,5/10/2020,Nunavachak,
TOGHER_2020_06_08_17_53_31,Gordan Jensen,icicle,5,5,253,249,2,5,4,25,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_28_54,Gordan Jensen,icicle,5,6,258,248,1,5,5,17,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_42_50,Gordan Jensen,icicle,5,2,276,352,1,7,5,45,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_20_26,Gordan Jensen,icicle,5,7,305,425,2,8,5,96,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_11_04_50,Gordan Jensen,icicle,5,5,262,245,1,5,5,33,33,5/9/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,6,280,349,2,6,5,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_01_23,Gordan Jensen,icicle,5,4,236,171,2,4,5,9,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_10_28_19,Gordan Jensen,icicle,5,10,258,244,1,5,5,30,33,5/9/2020,Nunavachak,
TOGHER_2020_06_08_15_01_23,Gordan Jensen,icicle,5,6,241,169,1,30,5,9,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_01_23,Gordan Jensen,icicle,5,7,238,179,1,4,5,9,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_10_25_12,Gordan Jensen,icicle,5,3,220,243,1,5,5,29,33,5/9/2020,Nunavachak,
TOGHER_2020_06_10_16_15_10,Gordan Jensen,icicle,5,6,312,469,1,9,5,103,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_13_49_23,Gordan Jensen,icicle,5,1,284,351,2,7,5,3,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_35_19,Gordan Jensen,icicle,5,10,306,460,1,9,5,14,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_06_01,Gordan Jensen,icicle,5,2,230,166,1,4,5,10,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_16_38_43,Gordan Jensen,icicle,5,8,264,242,1,5,5,19,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_31_28,Gordan Jensen,icicle,5,3,307,454,1,9,5,13,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_23_46,Gordan Jensen,icicle,5,6,277,348,2,7,5,40,44,5/13/2020,Nunavachak,
TOGHER_2020_06_10_14_31_50,Gordan Jensen,icicle,5,10,281,342,2,6,5,92,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_06_01,Gordan Jensen,icicle,5,7,255,210,1,28,5,10,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_06_01,Gordan Jensen,icicle,5,8,239,172,1,4,5,10,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_06_01,Gordan Jensen,icicle,5,9,241,228,1,28,5,10,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_09_53_59,Gordan Jensen,icicle,5,9,264,242,1,5,5,26,33,5/9/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,1,234,174,2,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,2,243,170,1,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_15_29_13,Gordan Jensen,icicle,5,10,277,340,2,6,5,98,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_36_40,Gordan Jensen,icicle,5,10,282,340,2,6,5,100,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,5,247,184,1,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,6,264,232,1,28,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_15_00_31,Gordan Jensen,icicle,5,9,286,348,1,7,5,49,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,8,249,191,2,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,9,238,165,1,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,10,244,195,1,4,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_17_53_31,Gordan Jensen,icicle,5,8,294,414,1,8,5,25,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_23_51,Gordan Jensen,icicle,5,2,309,400,1,11,5,12,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_38_43,Gordan Jensen,icicle,5,6,278,344,2,7,5,19,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_47_01,Gordan Jensen,icicle,5,3,294,403,2,8,5,95,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_46_30,Gordan Jensen,icicle,5,1,277,335,2,6,5,20,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_12_24_12,Gordan Jensen,icicle,5,5,274,344,2,7,5,88,38,5/10/2020,Nunavachak,
TOGHER_2020_06_08_15_23_51,Gordan Jensen,icicle,5,7,314,461,1,12,5,12,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_23_51,Gordan Jensen,icicle,5,8,318,473,2,13,5,12,1,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_42_33,Gordan Jensen,icicle,5,2,317,451,1,9,5,94,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_55_08,Gordan Jensen,icicle,5,8,274,342,2,7,5,22,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_31_28,Gordan Jensen,icicle,5,1,324,439,1,28,5,13,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_49_33,Gordan Jensen,icicle,5,1,284,341,1,7,5,47,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_32_09,Gordan Jensen,icicle,5,7,302,446,1,9,5,99,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_12_24_12,Gordan Jensen,icicle,5,2,283,334,1,6,5,88,38,5/10/2020,Nunavachak,
TOGHER_2020_06_10_14_42_33,Gordan Jensen,icicle,5,3,273,330,1,6,5,94,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_16_07_18,Gordan Jensen,icicle,5,2,305,443,1,9,5,54,29,5/8/2020,Nunavachak,mixture of May 8 & May 9 catch date
TOGHER_2020_06_10_15_20_26,Gordan Jensen,icicle,5,5,317,341,2,7,5,96,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_50_33,Gordan Jensen,icicle,5,10,272,340,2,7,5,21,5,5/4/2020,Nunavachak,
